,T,moneyness,implied_volatility
5552,25,0.9253368804580419,0.2177
5580,25,0.9484703024694928,0.1973
5584,25,0.9507836446706379,0.1955
5596,25,0.9577236712740733,0.1901
5600,25,0.9600370134752184,0.1883
5604,25,0.9623503556763635,0.1865
5608,25,0.9646636978775086,0.1846
5612,25,0.9669770400786537,0.183
5616,25,0.9692903822797988,0.1813
5620,25,0.9716037244809439,0.1795
5624,25,0.973917066682089,0.1778
5628,25,0.9762304088832341,0.176
5632,25,0.9785437510843792,0.1743
5636,25,0.9808570932855243,0.1724
5640,25,0.9831704354866694,0.1709
5644,25,0.9854837776878145,0.1693
5648,25,0.9877971198889596,0.1673
5652,25,0.9901104620901048,0.1658
5656,25,0.9924238042912499,0.1641
5660,25,0.994737146492395,0.1625
5664,25,0.9970504886935401,0.1609
5668,25,0.9993638308946852,0.1591
5672,25,1.0005205019952577,0.1582
5676,25,1.0016771730958303,0.1574
5680,25,1.0039905152969752,0.1558
5684,25,1.0063038574981205,0.1541
5688,25,1.0086171996992657,0.1526
5692,25,1.0109305419004107,0.1511
5696,25,1.0120872130009833,0.1505
5700,25,1.0132438841015559,0.1497
5704,25,1.0155572263027008,0.1483
5708,25,1.017870568503846,0.1466
5712,25,1.020183910704991,0.1452
5716,25,1.0224972529061362,0.1437
5720,25,1.0236539240067088,0.143
5724,25,1.0248105951072812,0.1423
5728,25,1.0271239373084264,0.1409
5732,25,1.0294372795095714,0.1395
5736,25,1.0317506217107166,0.1383
5740,25,1.0340639639118616,0.1373
5744,25,1.0352206350124342,0.1364
5748,25,1.0363773061130068,0.1359
5752,25,1.038690648314152,0.1348
5756,25,1.041003990515297,0.1337
5760,25,1.0433173327164422,0.1327
5764,25,1.0456306749175872,0.1318
5768,25,1.0467873460181598,0.1312
5772,25,1.0479440171187324,0.1308
5776,25,1.0502573593198774,0.1302
5780,25,1.0525707015210226,0.1293
5784,25,1.0548840437221676,0.1288
5788,25,1.0571973859233128,0.1279
5792,25,1.0595107281244578,0.1276
5796,25,1.061824070325603,0.1266
5800,25,1.064137412526748,0.1267
5804,25,1.0687640969290382,0.1262
5808,25,1.0733907813313286,0.1259
5812,25,1.0757041235324736,0.1257
5816,25,1.0780174657336188,0.1275
5820,25,1.082644150135909,0.1291
5824,25,1.0872708345381992,0.1291
5828,25,1.0918975189404894,0.1312
5832,25,1.0965242033427796,0.1319
5836,25,1.0988375455439245,0.1346
5840,25,1.1011508877450698,0.1374
5844,25,1.1104042565496501,0.1408
5848,25,1.1219709675553757,0.1537
5852,25,1.133537678561101,0.1664
5856,25,1.1451043895668267,0.1627
5964,32,0.9022034584465908,0.2334
5980,32,0.9369035914637673,0.2035
6012,32,0.9554103290729281,0.189
6016,32,0.9577236712740733,0.1876
6020,32,0.9600370134752184,0.1859
6032,32,0.9658203689780811,0.1817
6044,32,0.9716037244809439,0.1775
6048,32,0.973917066682089,0.1756
6052,32,0.9762304088832341,0.1738
6056,32,0.9773870799838067,0.1734
6060,32,0.9785437510843792,0.1723
6064,32,0.9808570932855243,0.1706
6068,32,0.9831704354866694,0.169
6072,32,0.9854837776878145,0.1674
6076,32,0.9877971198889596,0.1659
6080,32,0.9889537909895322,0.165
6084,32,0.9901104620901048,0.1642
6088,32,0.9924238042912499,0.1627
6092,32,0.994737146492395,0.1611
6096,32,0.9970504886935401,0.1593
6100,32,0.9993638308946852,0.1577
6104,32,1.0005205019952577,0.1569
6108,32,1.0016771730958303,0.1562
6112,32,1.0039905152969752,0.1548
6116,32,1.0063038574981205,0.1531
6120,32,1.0086171996992657,0.1517
6124,32,1.0109305419004107,0.15
6128,32,1.0132438841015559,0.1485
6132,32,1.0155572263027008,0.1471
6136,32,1.017870568503846,0.1458
6140,32,1.020183910704991,0.1444
6144,32,1.0224972529061362,0.143
6148,32,1.0248105951072812,0.1417
6152,32,1.0271239373084264,0.1405
6156,32,1.0294372795095714,0.1392
6160,32,1.0317506217107166,0.1379
6164,32,1.0340639639118616,0.1368
6168,32,1.0363773061130068,0.1356
6172,32,1.038690648314152,0.1345
6176,32,1.041003990515297,0.1334
6180,32,1.0433173327164422,0.1324
6184,32,1.0456306749175872,0.1314
6188,32,1.0502573593198774,0.1295
6192,32,1.0525707015210226,0.1288
6196,32,1.0548840437221676,0.1282
6200,32,1.0595107281244578,0.1267
6204,32,1.064137412526748,0.1256
6208,32,1.0687640969290382,0.1249
6212,32,1.0733907813313286,0.1236
6216,32,1.0757041235324736,0.1243
6220,32,1.0780174657336188,0.1241
6224,32,1.0872708345381992,0.1244
6228,32,1.0988375455439245,0.1291
6232,32,1.1104042565496501,0.1348
6240,32,1.133537678561101,0.1458
6392,39,0.8096697704007866,0.3221
6416,39,0.8790700364351397,0.2307
6440,39,0.9022034584465908,0.229
6480,39,0.9253368804580419,0.2106
6492,39,0.9322769070614771,0.2052
6496,39,0.9345902492626222,0.2035
6500,39,0.9369035914637673,0.2019
6504,39,0.9392169336649124,0.2002
6508,39,0.9415302758660575,0.1986
6512,39,0.9438436180672026,0.1969
6520,39,0.9484703024694928,0.1933
6528,39,0.953096986871783,0.1904
6532,39,0.9554103290729281,0.1886
6536,39,0.9577236712740733,0.1871
6540,39,0.9600370134752184,0.1853
6548,39,0.9646636978775086,0.182
6552,39,0.9669770400786537,0.1804
6556,39,0.9692903822797988,0.1788
6560,39,0.9716037244809439,0.1775
6564,39,0.973917066682089,0.1757
6568,39,0.9762304088832341,0.1741
6572,39,0.9785437510843792,0.1726
6576,39,0.9808570932855243,0.171
6580,39,0.9831704354866694,0.1696
6584,39,0.9854837776878145,0.168
6588,39,0.9877971198889596,0.1663
6592,39,0.9901104620901048,0.1648
6596,39,0.9924238042912499,0.1633
6600,39,0.994737146492395,0.1616
6604,39,0.9970504886935401,0.1601
6608,39,0.9993638308946852,0.1584
6612,39,1.0016771730958303,0.1569
6616,39,1.0039905152969752,0.1554
6620,39,1.0063038574981205,0.1541
6624,39,1.0086171996992657,0.1525
6628,39,1.0109305419004107,0.151
6632,39,1.0132438841015559,0.1497
6636,39,1.0155572263027008,0.1483
6640,39,1.017870568503846,0.1468
6644,39,1.020183910704991,0.1455
6648,39,1.0224972529061362,0.1441
6652,39,1.0248105951072812,0.1428
6656,39,1.0271239373084264,0.1416
6660,39,1.0294372795095714,0.1403
6664,39,1.0317506217107166,0.1392
6668,39,1.0340639639118616,0.1381
6672,39,1.0363773061130068,0.1369
6676,39,1.038690648314152,0.1358
6680,39,1.041003990515297,0.1348
6684,39,1.0433173327164422,0.1339
6688,39,1.0456306749175872,0.133
6692,39,1.0479440171187324,0.1321
6696,39,1.0502573593198774,0.1312
6700,39,1.0525707015210226,0.1303
6704,39,1.0548840437221676,0.1294
6708,39,1.0571973859233128,0.1288
6712,39,1.0595107281244578,0.1281
6716,39,1.061824070325603,0.1278
6720,39,1.064137412526748,0.1269
6724,39,1.0687640969290382,0.1259
6728,39,1.0733907813313286,0.1249
6732,39,1.0757041235324736,0.1247
6736,39,1.0780174657336188,0.1244
6740,39,1.082644150135909,0.1241
6744,39,1.0872708345381992,0.1233
6748,39,1.0918975189404894,0.1241
6752,39,1.0965242033427796,0.1251
6756,39,1.0988375455439245,0.1243
6764,39,1.10577757214736,0.1254
6768,39,1.1104042565496501,0.1275
6772,39,1.1150309409519403,0.1291
6776,39,1.1196576253542305,0.1295
6780,39,1.1219709675553757,0.1317
6788,39,1.128910994158811,0.1338
6792,39,1.133537678561101,0.1381
6796,39,1.1381643629633915,0.1423
6800,39,1.1427910473656817,0.1392
6804,39,1.1451043895668267,0.1412
6812,39,1.1566711005725523,0.1511
6816,39,1.1682378115782779,0.1607
6888,46,0.77496963738361,0.3504
6896,46,0.7981030593950611,0.326
6900,46,0.8096697704007866,0.3185
6904,46,0.8212364814065121,0.2972
6912,46,0.8443699034179631,0.2792
6924,46,0.8790700364351397,0.2438
6932,46,0.9022034584465908,0.2246
6956,46,0.9438436180672026,0.1938
6960,46,0.9461569602683477,0.1922
6964,46,0.9484703024694928,0.1906
6968,46,0.9507836446706379,0.189
6976,46,0.9542536579723556,0.1867
6984,46,0.9577236712740733,0.1843
6988,46,0.9600370134752184,0.1826
6992,46,0.9623503556763635,0.1811
7000,46,0.9658203689780811,0.1785
7008,46,0.9692903822797988,0.1765
7012,46,0.9716037244809439,0.175
7020,46,0.9762304088832341,0.1718
7024,46,0.9773870799838067,0.1711
7028,46,0.9785437510843792,0.1703
7032,46,0.9808570932855243,0.1685
7036,46,0.9831704354866694,0.1673
7040,46,0.9854837776878145,0.1656
7044,46,0.9877971198889596,0.1638
7048,46,0.9889537909895322,0.163
7052,46,0.9901104620901048,0.1623
7056,46,0.9924238042912499,0.161
7060,46,0.994737146492395,0.1595
7064,46,0.9970504886935401,0.1579
7068,46,0.9993638308946852,0.1564
7072,46,1.0005205019952577,0.156
7076,46,1.0016771730958303,0.155
7080,46,1.0039905152969752,0.1536
7084,46,1.0063038574981205,0.152
7088,46,1.0086171996992657,0.1508
7092,46,1.0109305419004107,0.1492
7096,46,1.0132438841015559,0.1478
7100,46,1.0155572263027008,0.1463
7104,46,1.017870568503846,0.1451
7108,46,1.020183910704991,0.1437
7112,46,1.0224972529061362,0.1424
7116,46,1.0248105951072812,0.1414
7120,46,1.0271239373084264,0.14
7124,46,1.0294372795095714,0.1389
7128,46,1.0317506217107166,0.1377
7132,46,1.041003990515297,0.1334
7136,46,1.0525707015210226,0.129
7140,46,1.064137412526748,0.1254
7144,46,1.0757041235324736,0.1232
7148,46,1.0872708345381992,0.122
7152,46,1.0988375455439245,0.1218
7156,46,1.1104042565496501,0.123
7160,46,1.1219709675553757,0.1273
7164,46,1.133537678561101,0.1309
7168,46,1.1451043895668267,0.1357
7172,46,1.1566711005725523,0.1381
7196,46,1.2260713666069054,0.1733
7344,67,0.751836215372159,0.3421
7348,67,0.7634029263778845,0.3303
7380,67,0.8096697704007866,0.2879
7460,67,0.8559366144236886,0.2533
7480,67,0.8675033254294142,0.2476
7500,67,0.8790700364351397,0.2359
7520,67,0.8906367474408652,0.2278
7528,67,0.8952634318431555,0.2247
7540,67,0.9022034584465908,0.2204
7544,67,0.9045168006477359,0.2187
7560,67,0.9137701694523163,0.2131
7580,67,0.9253368804580419,0.2052
7592,67,0.9322769070614771,0.2006
7600,67,0.9369035914637673,0.1988
7608,67,0.9415302758660575,0.1951
7612,67,0.9438436180672026,0.1935
7620,67,0.9484703024694928,0.1902
7628,67,0.953096986871783,0.1871
7632,67,0.9554103290729281,0.1858
7636,67,0.9577236712740733,0.1844
7640,67,0.9600370134752184,0.1824
7644,67,0.9623503556763635,0.1824
7648,67,0.9646636978775086,0.1808
7652,67,0.9669770400786537,0.1792
7656,67,0.9692903822797988,0.1783
7660,67,0.9716037244809439,0.1765
7664,67,0.973917066682089,0.1754
7668,67,0.9762304088832341,0.1737
7672,67,0.9785437510843792,0.1718
7676,67,0.9808570932855243,0.1703
7680,67,0.9831704354866694,0.1689
7684,67,0.9854837776878145,0.1678
7688,67,0.9877971198889596,0.1665
7692,67,0.9901104620901048,0.1648
7696,67,0.9924238042912499,0.1633
7700,67,0.994737146492395,0.1619
7704,67,0.9970504886935401,0.1604
7708,67,0.9993638308946852,0.1592
7712,67,1.0016771730958303,0.1578
7716,67,1.0039905152969752,0.1565
7720,67,1.0063038574981205,0.155
7724,67,1.0086171996992657,0.1537
7728,67,1.0109305419004107,0.1524
7732,67,1.0132438841015559,0.1513
7736,67,1.0155572263027008,0.1499
7740,67,1.017870568503846,0.1485
7744,67,1.020183910704991,0.1473
7748,67,1.0224972529061362,0.1462
7752,67,1.0248105951072812,0.1453
7756,67,1.0271239373084264,0.1438
7760,67,1.0294372795095714,0.1426
7764,67,1.0317506217107166,0.1415
7768,67,1.0340639639118616,0.1406
7772,67,1.0363773061130068,0.1396
7776,67,1.038690648314152,0.1384
7780,67,1.041003990515297,0.1374
7784,67,1.0433173327164422,0.1365
7788,67,1.0456306749175872,0.1359
7792,67,1.0479440171187324,0.1349
7796,67,1.0502573593198774,0.1338
7800,67,1.0525707015210226,0.1331
7804,67,1.0548840437221676,0.1326
7808,67,1.0571973859233128,0.1318
7812,67,1.0595107281244578,0.1309
7816,67,1.061824070325603,0.1304
7820,67,1.064137412526748,0.1299
7824,67,1.0664507547278932,0.1294
7828,67,1.0687640969290382,0.1287
7832,67,1.0710774391301834,0.1281
7836,67,1.0733907813313286,0.1277
7840,67,1.0757041235324736,0.1275
7844,67,1.0780174657336188,0.1268
7848,67,1.0803308079347638,0.1264
7852,67,1.082644150135909,0.1265
7856,67,1.084957492337054,0.1262
7860,67,1.0872708345381992,0.1257
7864,67,1.0895841767393442,0.1253
7868,67,1.0918975189404894,0.1253
7872,67,1.0942108611416343,0.1253
7876,67,1.0965242033427796,0.1251
7880,67,1.0988375455439245,0.1248
7884,67,1.1011508877450698,0.1249
7888,67,1.103464229946215,0.1252
7900,67,1.1104042565496501,0.1248
7904,67,1.1127175987507953,0.1253
7908,67,1.1150309409519403,0.1255
7912,67,1.1173442831530855,0.126
7916,67,1.1196576253542305,0.1256
7920,67,1.1219709675553757,0.1256
7924,67,1.1242843097565207,0.1262
7928,67,1.126597651957666,0.1275
7936,67,1.1312243363599561,0.1279
7940,67,1.133537678561101,0.1273
7948,67,1.1381643629633915,0.1286
7956,67,1.1427910473656817,0.131
7960,67,1.1451043895668267,0.1311
7964,67,1.147417731767972,0.1311
7980,67,1.1566711005725523,0.1342
7988,67,1.1682378115782779,0.1376
7992,67,1.1798045225840033,0.1426
8000,67,1.2029379445954544,0.1492
8008,67,1.2260713666069054,0.1562
8012,67,1.237638077612631,0.163
8020,67,1.260771499624082,0.1762
8308,81,0.8096697704007866,0.2745
8432,81,0.8813833786362848,0.2244
8468,81,0.9022034584465908,0.2128
8508,81,0.9253368804580419,0.2045
8516,81,0.929963564860332,0.1987
8528,81,0.9369035914637673,0.1949
8540,81,0.9438436180672026,0.1922
8548,81,0.9484703024694928,0.1895
8552,81,0.9507836446706379,0.1879
8568,81,0.9600370134752184,0.1825
8576,81,0.9646636978775086,0.1684
8588,81,0.9716037244809439,0.1754
8592,81,0.973917066682089,0.1738
8596,81,0.9762304088832341,0.1725
8600,81,0.9785437510843792,0.1711
8604,81,0.9808570932855243,0.1697
8608,81,0.9831704354866694,0.1683
8612,81,0.9854837776878145,0.1671
8616,81,0.9877971198889596,0.1657
8620,81,0.9901104620901048,0.1642
8624,81,0.9924238042912499,0.1629
8628,81,0.994737146492395,0.1617
8632,81,0.9970504886935401,0.1604
8636,81,0.9993638308946852,0.159
8640,81,1.0016771730958303,0.1574
8644,81,1.0039905152969752,0.1561
8648,81,1.0063038574981205,0.1547
8652,81,1.0086171996992657,0.1536
8656,81,1.0109305419004107,0.1523
8660,81,1.0132438841015559,0.151
8664,81,1.0155572263027008,0.1496
8668,81,1.017870568503846,0.1485
8672,81,1.020183910704991,0.1473
8676,81,1.0224972529061362,0.1459
8680,81,1.0248105951072812,0.1447
8684,81,1.0271239373084264,0.1437
8688,81,1.0294372795095714,0.1423
8692,81,1.0317506217107166,0.1413
8696,81,1.0340639639118616,0.1401
8700,81,1.0363773061130068,0.1391
8704,81,1.038690648314152,0.138
8708,81,1.041003990515297,0.1369
8712,81,1.0433173327164422,0.136
8716,81,1.0456306749175872,0.135
8720,81,1.0479440171187324,0.1342
8724,81,1.0502573593198774,0.1332
8728,81,1.0525707015210226,0.1324
8732,81,1.0548840437221676,0.1315
8736,81,1.0571973859233128,0.1308
8740,81,1.0595107281244578,0.1299
8744,81,1.061824070325603,0.1292
8748,81,1.064137412526748,0.1284
8752,81,1.0664507547278932,0.128
8760,81,1.0710774391301834,0.1266
8764,81,1.0733907813313286,0.1259
8768,81,1.0757041235324736,0.1255
8772,81,1.0780174657336188,0.1251
8776,81,1.0803308079347638,0.1246
8780,81,1.082644150135909,0.1242
8784,81,1.084957492337054,0.1237
8788,81,1.0872708345381992,0.1233
8796,81,1.0918975189404894,0.1225
8800,81,1.0942108611416343,0.1225
8804,81,1.0965242033427796,0.122
8808,81,1.0988375455439245,0.1218
8812,81,1.1011508877450698,0.1214
8816,81,1.103464229946215,0.1215
8820,81,1.10577757214736,0.1212
8828,81,1.1104042565496501,0.1216
8832,81,1.1127175987507953,0.1212
8840,81,1.1173442831530855,0.1209
8844,81,1.1196576253542305,0.1213
8848,81,1.1219709675553757,0.1213
8868,81,1.133537678561101,0.1224
8880,81,1.1404777051645365,0.1233
8888,81,1.1451043895668267,0.1234
8896,81,1.149731073969117,0.1248
8908,81,1.1566711005725523,0.1274
8912,81,1.1682378115782779,0.1302
8916,81,1.1798045225840033,0.1329
8920,81,1.1913712335897289,0.137
8932,81,1.2260713666069054,0.1487
8940,81,1.2492047886183564,0.1542
9052,102,0.7171360823549824,0.3199
9064,102,0.751836215372159,0.2997
9068,102,0.7634029263778845,0.2921
9084,102,0.8096697704007866,0.2646
9088,102,0.8212364814065121,0.2581
9092,102,0.8328031924122377,0.2506
9100,102,0.8559366144236886,0.238
9112,102,0.8906367474408652,0.2193
9116,102,0.9022034584465908,0.2126
9120,102,0.9137701694523163,0.2054
9124,102,0.9253368804580419,0.2023
9132,102,0.929963564860332,0.1919
9144,102,0.9369035914637673,0.1957
9148,102,0.9392169336649124,0.2032
9152,102,0.9415302758660575,0.2012
9164,102,0.9484703024694928,0.1886
9180,102,0.9577236712740733,0.1834
9184,102,0.9600370134752184,0.1821
9188,102,0.9623503556763635,0.1807
9192,102,0.9646636978775086,0.1795
9200,102,0.9692903822797988,0.1769
9204,102,0.9716037244809439,0.1754
9208,102,0.973917066682089,0.1741
9212,102,0.9762304088832341,0.1728
9216,102,0.9785437510843792,0.1715
9220,102,0.9808570932855243,0.1701
9224,102,0.9831704354866694,0.1688
9228,102,0.9854837776878145,0.1676
9232,102,0.9877971198889596,0.1665
9236,102,0.9901104620901048,0.1652
9240,102,0.9924238042912499,0.164
9244,102,0.994737146492395,0.1625
9248,102,0.9970504886935401,0.1612
9252,102,0.9993638308946852,0.1601
9256,102,1.0016771730958303,0.1588
9260,102,1.0039905152969752,0.1576
9264,102,1.0063038574981205,0.1561
9268,102,1.0086171996992657,0.1548
9272,102,1.0109305419004107,0.1537
9276,102,1.0132438841015559,0.1526
9280,102,1.0155572263027008,0.1513
9284,102,1.017870568503846,0.1501
9288,102,1.020183910704991,0.1491
9292,102,1.0224972529061362,0.1478
9296,102,1.0248105951072812,0.1467
9300,102,1.0271239373084264,0.1455
9304,102,1.0294372795095714,0.1445
9308,102,1.0317506217107166,0.1433
9312,102,1.0340639639118616,0.1423
9316,102,1.0363773061130068,0.1412
9320,102,1.038690648314152,0.1402
9324,102,1.041003990515297,0.1392
9328,102,1.0525707015210226,0.1345
9332,102,1.064137412526748,0.1304
9336,102,1.0757041235324736,0.1271
9340,102,1.0872708345381992,0.1244
9344,102,1.0988375455439245,0.1224
9348,102,1.1104042565496501,0.1211
9352,102,1.1219709675553757,0.1201
9356,102,1.133537678561101,0.1203
9360,102,1.1451043895668267,0.1212
9364,102,1.1566711005725523,0.1231
9368,102,1.1682378115782779,0.1247
9372,102,1.1798045225840033,0.1263
9376,102,1.1913712335897289,0.1289
9380,102,1.2029379445954544,0.1313
9384,102,1.2145046556011798,0.1352
9388,102,1.2260713666069054,0.1348
9392,102,1.237638077612631,0.1407
9400,102,1.260771499624082,0.1473
9404,102,1.2723382106298076,0.1528
9408,102,1.283904921635533,0.1512
9412,102,1.2954716326412585,0.1564
9688,130,0.9253368804580419,0.1999
9696,130,0.929963564860332,0.2079
9708,130,0.9369035914637673,0.2042
9712,130,0.9392169336649124,0.1954
9728,130,0.9484703024694928,0.1887
9752,130,0.9623503556763635,0.182
9756,130,0.9646636978775086,0.1822
9760,130,0.9669770400786537,0.1811
9764,130,0.9692903822797988,0.1799
9768,130,0.9716037244809439,0.1784
9772,130,0.973917066682089,0.1772
9776,130,0.9762304088832341,0.1764
9780,130,0.9785437510843792,0.1749
9784,130,0.9808570932855243,0.1737
9788,130,0.9831704354866694,0.1726
9792,130,0.9854837776878145,0.1714
9796,130,0.9877971198889596,0.1703
9800,130,0.9901104620901048,0.1692
9804,130,0.9924238042912499,0.1679
9808,130,0.994737146492395,0.1668
9812,130,0.9970504886935401,0.1656
9816,130,0.9993638308946852,0.1645
9820,130,1.0016771730958303,0.1634
9828,130,1.0063038574981205,0.1612
9832,130,1.0086171996992657,0.1599
9836,130,1.0109305419004107,0.1588
9840,130,1.0132438841015559,0.1577
9844,130,1.0155572263027008,0.1566
9848,130,1.017870568503846,0.1554
9852,130,1.020183910704991,0.1543
9856,130,1.0224972529061362,0.1532
9860,130,1.0248105951072812,0.1521
9864,130,1.0271239373084264,0.1511
9868,130,1.0294372795095714,0.15
9872,130,1.0317506217107166,0.149
9876,130,1.0340639639118616,0.148
9884,130,1.038690648314152,0.1458
9888,130,1.041003990515297,0.1448
9892,130,1.0525707015210226,0.1399
9896,130,1.064137412526748,0.1355
9900,130,1.0757041235324736,0.1315
9904,130,1.0872708345381992,0.1282
9908,130,1.0988375455439245,0.1255
9912,130,1.1104042565496501,0.1231
9916,130,1.1219709675553757,0.1215
9920,130,1.133537678561101,0.1204
9924,130,1.1451043895668267,0.1198
9928,130,1.1566711005725523,0.12
9932,130,1.1682378115782779,0.1206
9936,130,1.1798045225840033,0.1217
9940,130,1.1913712335897289,0.1232
9944,130,1.2029379445954544,0.1247
9948,130,1.2145046556011798,0.1268
10104,158,0.8328031924122377,0.2424
10108,158,0.8443699034179631,0.2364
10120,158,0.8790700364351397,0.2223
10124,158,0.8906367474408652,0.2152
10132,158,0.9137701694523163,0.2047
10136,158,0.9253368804580419,0.2041
10148,158,0.9322769070614771,0.1964
10176,158,0.9484703024694928,0.1891
10196,158,0.9600370134752184,0.1853
10200,158,0.9623503556763635,0.1839
10216,158,0.9716037244809439,0.1802
10224,158,0.9762304088832341,0.1778
10228,158,0.9785437510843792,0.1767
10236,158,0.9831704354866694,0.1744
10240,158,0.9854837776878145,0.1733
10244,158,0.9877971198889596,0.1718
10248,158,0.9901104620901048,0.1707
10252,158,0.9924238042912499,0.1698
10256,158,0.994737146492395,0.1691
10260,158,0.9970504886935401,0.1681
10264,158,0.9993638308946852,0.1666
10268,158,1.0016771730958303,0.1655
10272,158,1.0039905152969752,0.1648
10276,158,1.0063038574981205,0.1633
10284,158,1.0109305419004107,0.1615
10288,158,1.0132438841015559,0.1605
10292,158,1.0155572263027008,0.1595
10296,158,1.017870568503846,0.1582
10300,158,1.020183910704991,0.1575
10304,158,1.0224972529061362,0.1566
10308,158,1.0248105951072812,0.155
10312,158,1.0271239373084264,0.154
10316,158,1.0294372795095714,0.1531
10320,158,1.0317506217107166,0.1522
10324,158,1.0340639639118616,0.1513
10328,158,1.0363773061130068,0.1503
10332,158,1.038690648314152,0.1489
10336,158,1.041003990515297,0.1481
10340,158,1.0433173327164422,0.1469
10344,158,1.0456306749175872,0.1462
10348,158,1.0479440171187324,0.1453
10352,158,1.0502573593198774,0.1445
10356,158,1.0525707015210226,0.144
10360,158,1.0548840437221676,0.1428
10364,158,1.0571973859233128,0.1416
10368,158,1.0595107281244578,0.1409
10372,158,1.061824070325603,0.1399
10376,158,1.064137412526748,0.1392
10380,158,1.0664507547278932,0.1384
10384,158,1.0687640969290382,0.138
10388,158,1.0710774391301834,0.1369
10392,158,1.0733907813313286,0.1361
10396,158,1.0757041235324736,0.1351
10400,158,1.0780174657336188,0.1345
10404,158,1.0803308079347638,0.1336
10408,158,1.082644150135909,0.1332
10416,158,1.0872708345381992,0.1314
10420,158,1.0895841767393442,0.1308
10424,158,1.0918975189404894,0.1298
10428,158,1.0942108611416343,0.1296
10432,158,1.0965242033427796,0.1293
10436,158,1.0988375455439245,0.1294
10448,158,1.10577757214736,0.1265
10452,158,1.1080909143485052,0.1257
10456,158,1.1104042565496501,0.1264
10460,158,1.1219709675553757,0.1235
10464,158,1.133537678561101,0.122
10468,158,1.1451043895668267,0.1207
10472,158,1.1566711005725523,0.1202
10476,158,1.1682378115782779,0.1189
10480,158,1.1798045225840033,0.1207
10484,158,1.1913712335897289,0.1223
10488,158,1.2029379445954544,0.1226
10492,158,1.2145046556011798,0.1237
10496,158,1.2260713666069054,0.1248
10500,158,1.237638077612631,0.1271
10504,158,1.2492047886183564,0.1282
10512,158,1.2723382106298076,0.1341
10520,158,1.2954716326412585,0.1381
10736,171,0.9253368804580419,0.2028
10756,171,0.9369035914637673,0.197
